,0,1,2,3,4,5,6,7,8,9,10,11
5034,1674041400000,21209.88000000,21213.69000000,21196.04000000,21211.72000000,485.51150000,1674041699999,10295176.13092360,15519,225.60741000,4784043.53967340,0
5035,1674041700000,21211.00000000,21227.99000000,21210.26000000,21222.88000000,642.43138000,1674041999999,13631848.93717720,17533,348.01977000,7384906.55982830,0
5036,1674042000000,21223.40000000,21237.47000000,21210.50000000,21220.21000000,731.26037000,1674042299999,15520167.34229560,17876,371.98999000,7895247.07798850,0
5037,1674042300000,21220.21000000,21224.29000000,21197.14000000,21209.86000000,584.81243000,1674042599999,12403939.87908430,16422,285.62815000,6058279.71751660,0
5038,1674042600000,21209.85000000,21221.98000000,21203.95000000,21214.76000000,488.77897000,1674042899999,10367981.78359150,14653,242.66748000,5147545.65192160,0
5039,1674042900000,21215.10000000,21222.83000000,21202.56000000,21204.67000000,509.30993000,1674043199999,10803671.76482860,14229,235.96171000,5005427.95090480,0
5040,1674043200000,21204.67000000,21222.55000000,21202.57000000,21220.84000000,564.23870000,1674043499999,11969628.57504800,16718,315.79607000,6699459.78539870,0
5041,1674043500000,21220.05000000,21223.57000000,21204.03000000,21205.65000000,561.01550000,1674043799999,11899636.83623900,16515,265.36737000,5628828.70904990,0
5042,1674043800000,21205.04000000,21229.84000000,21203.17000000,21226.79000000,573.33249000,1674044099999,12165044.97274590,17855,318.71257000,6762551.41577020,0
5043,1674044100000,21226.35000000,21247.80000000,21225.18000000,21244.59000000,686.72265000,1674044399999,14584553.98489720,21270,370.59170000,7870715.91001330,0
5044,1674044400000,21245.50000000,21246.43000000,21220.51000000,21233.39000000,599.54249000,1674044699999,12729056.69230220,15209,284.00351000,6029618.99515550,0
5045,1674044700000,21233.39000000,21235.33000000,21222.00000000,21228.89000000,563.97079000,1674044999999,11972778.91162170,15566,285.77934000,6067017.46570620,0
